Facet id,X,Y,Z
1,-2.7941016,2.5655016,-0.0115824
2,-1.2701016,2.5655016,-0.0115824
3,0,2.5655016,-0.0115824
4,1.2701016,2.5655016,-0.0115824
5,2.7941016,2.5655016,-0.0115824
6,-2.7941016,1.2954,-0.0115824
7,-1.2701016,1.2954,-0.0115824
8,0,1.2954,-0.0115824
9,1.2701016,1.2954,-0.0115824
10,2.7941016,1.2954,-0.0115824
11,-2.7941016,0,0
12,-1.2701016,0,0
13,0,0,0
14,1.2701016,0,0
15,2.7941016,0,0
16,-2.7941016,-1.2954,-0.0115824
17,-1.2701016,-1.2954,-0.0115824
18,0,-1.2954,-0.0115824
19,1.2701016,-1.2954,-0.0115824
20,2.7941016,-1.2954,-0.0115824
21,-2.7941016,-2.5655016,-0.0115824
22,-1.2701016,-2.5655016,-0.0115824
23,0,-2.5655016,-0.0115824
24,1.2701016,-2.5655016,-0.0115824
25,2.7941016,-2.5655016,-0.0115824
